,Kingdom,Phylum,Class,Order,Family,Genus,Species
Prevotella_AF432133,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,Prevotella_AF432133
Prevotella_AJ012605,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,Prevotella_AJ012605
Prevotella_AJ289182,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,Prevotella_AJ289182
Prevotella_AY005064,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,Prevotella_AY005064
Prevotella_AY005065,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,Prevotella_AY005065
Prevotella_AY093466,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,Prevotella_AY093466
Prevotella_AY207061,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,NA,Prevotella_AY207061
Paenibacillus_AY167820,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,NA,Paenibacillus_AY167820
Rothia_AF543276,Bacteria,NA,NA,NA,NA,NA,Rothia_AF543276
Selenomonas_AF287795,Bacteria,Firmicutes,Negativicutes,NA,NA,NA,Selenomonas_AF287795
Selenomonas_AF385514,Bacteria,Firmicutes,Negativicutes,NA,NA,NA,Selenomonas_AF385514
TM7_AF385500,Bacteria,NA,NA,NA,NA,NA,TM7_AF385500
TM7_AF385506,Bacteria,NA,NA,NA,NA,NA,TM7_AF385506
TM7_AF385520,Bacteria,NA,NA,NA,NA,NA,TM7_AF385520
Selenomonas_sp,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas_sp
Veillonella_sp,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella_sp
